food_name,dietary_type,meal_type,calories,protein,carbs,fats,portion_size,preparation_time,cuisine_type,ingredients,cooking_method,allergens,seasonality,difficulty_level,recipe_link
Pasta Primavera 0,Keto,Lunch,529,21,4,47,2 serving(s),33,Middle Eastern,"Ingredient 2, Ingredient 17",Bake,soy,Spring,Hard,https://example.com/recipe_0
Smoothie 1,Paleo,Breakfast,522,48,64,26,3 serving(s),14,American,"Ingredient 5, Ingredient 13",Pan-fry,eggs,Winter,Easy,https://example.com/recipe_1
Keto Egg Salad 2,Vegan,Pre-workout,285,24,91,1,3 serving(s),8,Indian,"Ingredient 1, Ingredient 12",Steam,eggs,All Year,Medium,https://example.com/recipe_2
Oatmeal 3,No Restrictions,Pre-workout,703,41,23,28,2 serving(s),10,Mediterranean,"Ingredient 5, Ingredient 18",Boil,fish,All Year,Medium,https://example.com/recipe_3
Oatmeal 4,Keto,Breakfast,473,29,91,43,2 serving(s),26,Mexican,"Ingredient 4, Ingredient 14",Boil,dairy,Summer,Medium,https://example.com/recipe_4
Grilled Chicken 5,Gluten-Free,Dinner,715,10,82,21,2 serving(s),30,Mexican,"Ingredient 6, Ingredient 18",No-Cook,None,Summer,Easy,https://example.com/recipe_5
Salmon Steak 6,Keto,Snacks,192,45,7,7,3 serving(s),43,Mediterranean,"Ingredient 6, Ingredient 14",Boil,shellfish,Summer,Easy,https://example.com/recipe_6
Chicken Wrap 7,Keto,Post-workout,526,50,58,47,1 serving(s),48,Mexican,"Ingredient 5, Ingredient 17",Slow-cook,None,Winter,Easy,https://example.com/recipe_7
Pasta Primavera 8,Keto,Snacks,415,24,14,45,2 serving(s),47,Asian,"Ingredient 5, Ingredient 14",Bake,eggs,Fall,Hard,https://example.com/recipe_8
Keto Egg Salad 9,Vegan,Lunch,474,9,94,45,2 serving(s),22,Italian,"Ingredient 2, Ingredient 12",Boil,None,All Year,Easy,https://example.com/recipe_9
Quinoa Bowl 10,Mediterranean,Snacks,735,18,6,38,3 serving(s),18,International,"Ingredient 2, Ingredient 14",Slow-cook,nuts,Winter,Easy,https://example.com/recipe_10
Keto Egg Salad 11,Keto,Snacks,318,6,50,25,2 serving(s),28,Italian,"Ingredient 1, Ingredient 20",No-Cook,soy,Winter,Hard,https://example.com/recipe_11
Vegan Stir-Fry 12,Gluten-Free,Snacks,739,16,9,30,2 serving(s),45,Italian,"Ingredient 9, Ingredient 14",Bake,fish,Spring,Medium,https://example.com/recipe_12
Quinoa Bowl 13,Vegan,Snacks,457,12,37,3,1 serving(s),24,International,"Ingredient 10, Ingredient 14",Grill,dairy,Summer,Medium,https://example.com/recipe_13
Pasta Primavera 14,No Restrictions,Lunch,465,31,47,30,1 serving(s),36,American,"Ingredient 6, Ingredient 18",Bake,gluten,All Year,Easy,https://example.com/recipe_14
Keto Egg Salad 15,Paleo,Breakfast,540,16,10,37,1 serving(s),5,Indian,"Ingredient 4, Ingredient 17",Bake,gluten,Fall,Hard,https://example.com/recipe_15
Tofu Curry 16,Keto,Snacks,128,46,80,34,2 serving(s),25,Mediterranean,"Ingredient 9, Ingredient 19",Grill,None,Fall,Hard,https://example.com/recipe_16
Keto Egg Salad 17,Gluten-Free,Dinner,391,25,81,2,2 serving(s),14,Mexican,"Ingredient 1, Ingredient 13",Slow-cook,dairy,Winter,Easy,https://example.com/recipe_17
Grilled Chicken 18,Gluten-Free,Lunch,663,17,71,5,2 serving(s),13,American,"Ingredient 10, Ingredient 12",Air-fry,None,Winter,Hard,https://example.com/recipe_18
Vegan Stir-Fry 19,Vegetarian,Post-workout,766,24,79,32,1 serving(s),45,Middle Eastern,"Ingredient 9, Ingredient 20",Air-fry,None,Fall,Easy,https://example.com/recipe_19
Oatmeal 20,Gluten-Free,Breakfast,728,10,82,9,2 serving(s),30,Middle Eastern,"Ingredient 9, Ingredient 16",Slow-cook,dairy,All Year,Medium,https://example.com/recipe_20
Pasta Primavera 21,Vegan,Breakfast,535,32,82,32,1 serving(s),24,Middle Eastern,"Ingredient 3, Ingredient 11",Bake,nuts,Fall,Hard,https://example.com/recipe_21
Chicken Wrap 22,No Restrictions,Post-workout,220,46,35,45,2 serving(s),47,Indian,"Ingredient 1, Ingredient 18",Air-fry,shellfish,Summer,Easy,https://example.com/recipe_22
Oatmeal 23,No Restrictions,Post-workout,484,35,29,39,3 serving(s),27,Mediterranean,"Ingredient 3, Ingredient 15",No-Cook,fish,All Year,Easy,https://example.com/recipe_23
Oatmeal 24,Paleo,Post-workout,589,16,75,33,3 serving(s),14,American,"Ingredient 9, Ingredient 18",No-Cook,shellfish,Spring,Hard,https://example.com/recipe_24
Oatmeal 25,Keto,Lunch,712,28,87,2,3 serving(s),24,Middle Eastern,"Ingredient 3, Ingredient 19",Pan-fry,soy,Winter,Medium,https://example.com/recipe_25
Tofu Curry 26,Keto,Snacks,510,50,31,9,3 serving(s),13,Mediterranean,"Ingredient 9, Ingredient 17",Bake,gluten,All Year,Hard,https://example.com/recipe_26
Salmon Steak 27,Vegan,Breakfast,167,15,65,35,1 serving(s),58,Italian,"Ingredient 3, Ingredient 11",No-Cook,dairy,Summer,Hard,https://example.com/recipe_27
Tofu Curry 28,Paleo,Lunch,297,32,18,2,1 serving(s),37,Indian,"Ingredient 3, Ingredient 19",Slow-cook,gluten,Fall,Medium,https://example.com/recipe_28
Smoothie 29,Mediterranean,Breakfast,368,27,57,44,3 serving(s),50,Mediterranean,"Ingredient 6, Ingredient 11",Grill,fish,All Year,Easy,https://example.com/recipe_29
Grilled Chicken 30,Paleo,Dinner,727,19,33,46,3 serving(s),36,Mediterranean,"Ingredient 5, Ingredient 12",No-Cook,eggs,Fall,Hard,https://example.com/recipe_30
Keto Egg Salad 31,Vegetarian,Dinner,465,27,26,34,2 serving(s),10,Asian,"Ingredient 8, Ingredient 18",Bake,fish,Winter,Medium,https://example.com/recipe_31
Oatmeal 32,Keto,Breakfast,397,42,93,34,3 serving(s),28,American,"Ingredient 2, Ingredient 15",Steam,dairy,Winter,Hard,https://example.com/recipe_32
Vegan Stir-Fry 33,Vegan,Pre-workout,334,13,23,3,1 serving(s),49,American,"Ingredient 4, Ingredient 15",Boil,eggs,Summer,Hard,https://example.com/recipe_33
Oatmeal 34,Paleo,Pre-workout,593,17,54,27,1 serving(s),19,International,"Ingredient 2, Ingredient 13",Grill,dairy,Winter,Hard,https://example.com/recipe_34
Grilled Chicken 35,Keto,Snacks,523,9,6,33,3 serving(s),45,Mexican,"Ingredient 7, Ingredient 16",Bake,shellfish,Winter,Hard,https://example.com/recipe_35
Grilled Chicken 36,Vegan,Pre-workout,363,31,7,1,2 serving(s),54,International,"Ingredient 9, Ingredient 15",Air-fry,eggs,All Year,Medium,https://example.com/recipe_36
Pasta Primavera 37,Keto,Pre-workout,187,40,96,6,2 serving(s),7,Italian,"Ingredient 1, Ingredient 17",Grill,fish,Spring,Easy,https://example.com/recipe_37
Oatmeal 38,Paleo,Post-workout,513,34,26,15,2 serving(s),47,American,"Ingredient 8, Ingredient 18",Boil,gluten,Summer,Medium,https://example.com/recipe_38
Quinoa Bowl 39,Vegetarian,Lunch,174,43,44,38,3 serving(s),13,Middle Eastern,"Ingredient 1, Ingredient 19",Bake,shellfish,All Year,Easy,https://example.com/recipe_39
Salmon Steak 40,Paleo,Dinner,120,37,37,21,2 serving(s),59,American,"Ingredient 3, Ingredient 16",Grill,fish,Fall,Easy,https://example.com/recipe_40
Keto Egg Salad 41,Keto,Dinner,641,5,41,21,3 serving(s),43,International,"Ingredient 7, Ingredient 19",Grill,fish,Summer,Easy,https://example.com/recipe_41
Grilled Chicken 42,Gluten-Free,Lunch,553,47,79,9,3 serving(s),41,Asian,"Ingredient 4, Ingredient 11",Bake,fish,All Year,Hard,https://example.com/recipe_42
Grilled Chicken 43,Vegetarian,Dinner,515,37,15,15,3 serving(s),47,American,"Ingredient 1, Ingredient 15",No-Cook,eggs,All Year,Hard,https://example.com/recipe_43
Salmon Steak 44,No Restrictions,Snacks,221,35,17,31,1 serving(s),45,Middle Eastern,"Ingredient 10, Ingredient 12",Bake,nuts,All Year,Hard,https://example.com/recipe_44
Salmon Steak 45,Vegetarian,Snacks,799,40,83,27,2 serving(s),38,Asian,"Ingredient 8, Ingredient 16",Steam,None,Spring,Medium,https://example.com/recipe_45
Smoothie 46,Keto,Breakfast,721,9,28,3,2 serving(s),40,American,"Ingredient 2, Ingredient 16",Pan-fry,gluten,Winter,Medium,https://example.com/recipe_46
Oatmeal 47,No Restrictions,Breakfast,756,37,60,36,3 serving(s),49,Mexican,"Ingredient 1, Ingredient 20",Boil,eggs,Fall,Medium,https://example.com/recipe_47
Chicken Wrap 48,Paleo,Post-workout,125,33,94,39,3 serving(s),59,Mediterranean,"Ingredient 9, Ingredient 19",Steam,fish,All Year,Medium,https://example.com/recipe_48
Pasta Primavera 49,Vegan,Lunch,292,14,51,36,2 serving(s),57,American,"Ingredient 7, Ingredient 14",No-Cook,gluten,All Year,Medium,https://example.com/recipe_49
Keto Egg Salad 50,Mediterranean,Lunch,213,16,28,21,1 serving(s),35,International,"Ingredient 4, Ingredient 17",Bake,None,Spring,Easy,https://example.com/recipe_50
Tofu Curry 51,Keto,Snacks,165,27,81,10,1 serving(s),12,Indian,"Ingredient 3, Ingredient 12",Steam,gluten,Fall,Medium,https://example.com/recipe_51
Oatmeal 52,Keto,Post-workout,593,36,66,9,3 serving(s),32,Mexican,"Ingredient 10, Ingredient 14",No-Cook,soy,All Year,Easy,https://example.com/recipe_52
Smoothie 53,Keto,Post-workout,424,33,60,33,3 serving(s),47,Indian,"Ingredient 5, Ingredient 17",No-Cook,gluten,Spring,Hard,https://example.com/recipe_53
Chicken Wrap 54,No Restrictions,Lunch,202,14,29,21,1 serving(s),29,Indian,"Ingredient 6, Ingredient 11",Slow-cook,soy,Summer,Medium,https://example.com/recipe_54
Vegan Stir-Fry 55,Keto,Lunch,749,10,71,6,1 serving(s),38,American,"Ingredient 10, Ingredient 11",Slow-cook,gluten,Summer,Medium,https://example.com/recipe_55
Grilled Chicken 56,Paleo,Breakfast,527,28,9,43,3 serving(s),27,Middle Eastern,"Ingredient 8, Ingredient 15",No-Cook,dairy,All Year,Medium,https://example.com/recipe_56
Chicken Wrap 57,Gluten-Free,Breakfast,693,31,94,14,1 serving(s),45,Asian,"Ingredient 6, Ingredient 20",Slow-cook,eggs,Fall,Easy,https://example.com/recipe_57
Smoothie 58,No Restrictions,Dinner,495,43,66,49,1 serving(s),21,Asian,"Ingredient 10, Ingredient 16",Boil,shellfish,Fall,Hard,https://example.com/recipe_58
Tofu Curry 59,Paleo,Dinner,192,37,0,38,2 serving(s),53,Indian,"Ingredient 5, Ingredient 20",Pan-fry,None,All Year,Easy,https://example.com/recipe_59
Pasta Primavera 60,Vegan,Breakfast,534,13,13,3,1 serving(s),8,Middle Eastern,"Ingredient 5, Ingredient 19",Steam,eggs,Winter,Hard,https://example.com/recipe_60
Grilled Chicken 61,No Restrictions,Pre-workout,366,42,100,20,1 serving(s),11,Asian,"Ingredient 7, Ingredient 13",Air-fry,nuts,Winter,Easy,https://example.com/recipe_61
Pasta Primavera 62,Gluten-Free,Breakfast,498,27,62,15,3 serving(s),38,Italian,"Ingredient 2, Ingredient 17",Bake,None,All Year,Easy,https://example.com/recipe_62
Tofu Curry 63,Vegan,Post-workout,516,49,86,45,1 serving(s),37,American,"Ingredient 1, Ingredient 13",No-Cook,shellfish,Fall,Easy,https://example.com/recipe_63
Smoothie 64,No Restrictions,Breakfast,184,29,52,9,3 serving(s),42,International,"Ingredient 7, Ingredient 12",No-Cook,gluten,All Year,Easy,https://example.com/recipe_64
Tofu Curry 65,Vegan,Lunch,666,36,1,12,1 serving(s),55,American,"Ingredient 10, Ingredient 18",Pan-fry,fish,Spring,Easy,https://example.com/recipe_65
Smoothie 66,Paleo,Post-workout,563,17,7,8,3 serving(s),25,Middle Eastern,"Ingredient 2, Ingredient 11",Pan-fry,nuts,All Year,Hard,https://example.com/recipe_66
Grilled Chicken 67,Paleo,Dinner,665,18,9,16,3 serving(s),5,American,"Ingredient 1, Ingredient 14",Bake,fish,Fall,Easy,https://example.com/recipe_67
Tofu Curry 68,Gluten-Free,Dinner,620,15,2,17,1 serving(s),37,Italian,"Ingredient 2, Ingredient 20",Grill,nuts,Spring,Easy,https://example.com/recipe_68
Smoothie 69,No Restrictions,Breakfast,350,9,31,50,1 serving(s),24,Middle Eastern,"Ingredient 3, Ingredient 19",No-Cook,shellfish,Winter,Medium,https://example.com/recipe_69
Keto Egg Salad 70,Gluten-Free,Lunch,409,38,63,15,2 serving(s),57,Asian,"Ingredient 3, Ingredient 11",Pan-fry,soy,Winter,Hard,https://example.com/recipe_70
Grilled Chicken 71,Vegetarian,Lunch,474,7,12,4,2 serving(s),59,Middle Eastern,"Ingredient 4, Ingredient 14",Grill,dairy,Summer,Medium,https://example.com/recipe_71
Grilled Chicken 72,No Restrictions,Lunch,793,39,97,39,3 serving(s),58,International,"Ingredient 6, Ingredient 16",Pan-fry,eggs,Fall,Easy,https://example.com/recipe_72
