Workout_Name,Duration,Intensity,Goal,Level
Swimming,76,Medium,Muscle Gain,Beginner
Yoga,67,Medium,General Fitness,Intermediate
Strength Training,56,Medium,General Fitness,Intermediate
HIIT,55,High,Weight Loss,Intermediate
Running,84,Medium,Flexibility,Intermediate
CrossFit,72,Medium,Weight Loss,Intermediate
CrossFit,50,Medium,General Fitness,Beginner
Swimming,26,Medium,Flexibility,Advanced
Cardio,64,Medium,Muscle Gain,Beginner
Swimming,77,Low,Weight Loss,Advanced
Strength Training,50,Medium,Weight Loss,Intermediate
Swimming,86,Low,Muscle Gain,Intermediate
Cardio,61,High,General Fitness,Advanced
Yoga,35,High,Muscle Gain,Intermediate
Boxing,62,Low,Weight Loss,Advanced
Running,37,High,Endurance,Advanced
Boxing,50,Medium,Weight Loss,Advanced
Running,32,Medium,Endurance,Advanced
Running,25,High,Endurance,Beginner
Yoga,60,High,Muscle Gain,Advanced
Strength Training,72,Low,Endurance,Advanced
CrossFit,21,High,General Fitness,Beginner
Boxing,61,Medium,Endurance,Intermediate
Boxing,74,High,General Fitness,Beginner
Cycling,72,Medium,General Fitness,Beginner
Strength Training,70,Low,General Fitness,Intermediate
Yoga,62,High,Weight Loss,Beginner
HIIT,56,Medium,Flexibility,Beginner
Cardio,59,High,Flexibility,Intermediate
Strength Training,62,High,Endurance,Intermediate
Cardio,36,High,Muscle Gain,Beginner
Swimming,39,Medium,Endurance,Beginner
Cardio,89,Medium,Weight Loss,Intermediate
Yoga,74,Medium,Endurance,Intermediate
Pilates,38,Low,Flexibility,Advanced
Swimming,68,High,General Fitness,Advanced
Running,33,High,Muscle Gain,Advanced
Strength Training,75,High,Flexibility,Beginner
Strength Training,20,High,Endurance,Advanced
Swimming,42,High,Flexibility,Advanced
Yoga,71,Low,Endurance,Beginner
Cycling,33,Medium,Weight Loss,Beginner
Swimming,90,Low,General Fitness,Advanced
Cardio,36,Medium,Muscle Gain,Advanced
Swimming,82,Low,Muscle Gain,Intermediate
Cardio,41,Low,Muscle Gain,Intermediate
Pilates,72,Low,Endurance,Beginner
Swimming,16,Low,Weight Loss,Beginner
Cycling,19,High,General Fitness,Advanced
Boxing,19,Low,Flexibility,Intermediate
Swimming,89,Medium,Muscle Gain,Intermediate
Running,32,High,Weight Loss,Beginner
CrossFit,45,High,Endurance,Advanced
Pilates,80,Medium,General Fitness,Beginner
Swimming,86,Medium,Endurance,Beginner
Yoga,82,Medium,Endurance,Intermediate
Cardio,20,High,Muscle Gain,Advanced
Cycling,56,Medium,Muscle Gain,Beginner
CrossFit,82,Low,Weight Loss,Advanced
CrossFit,86,Low,Flexibility,Beginner
Running,19,High,Weight Loss,Advanced
Swimming,36,Low,General Fitness,Beginner
Swimming,86,High,General Fitness,Intermediate
Cycling,31,Low,Endurance,Beginner
Strength Training,35,Low,Weight Loss,Advanced
Pilates,78,Medium,Endurance,Beginner
Yoga,83,Low,Flexibility,Intermediate
Cycling,65,Medium,General Fitness,Advanced
CrossFit,88,Low,General Fitness,Intermediate
Pilates,72,High,General Fitness,Intermediate
Boxing,47,Low,Flexibility,Intermediate
Yoga,31,Low,Flexibility,Intermediate
Running,16,Low,General Fitness,Advanced
Pilates,15,Low,Flexibility,Beginner
Cardio,70,High,Flexibility,Intermediate
Running,42,Medium,Weight Loss,Beginner
Pilates,23,High,Weight Loss,Beginner
Strength Training,80,Medium,Flexibility,Advanced
Yoga,30,High,Muscle Gain,Beginner
Cardio,52,High,Flexibility,Beginner
HIIT,29,Low,Weight Loss,Intermediate
Swimming,50,High,Flexibility,Advanced
Swimming,77,High,Flexibility,Beginner
HIIT,35,Medium,Flexibility,Beginner
Running,62,High,General Fitness,Intermediate
Boxing,78,Low,Muscle Gain,Intermediate
Strength Training,54,High,Flexibility,Beginner
Cycling,86,Medium,Muscle Gain,Advanced
CrossFit,63,Medium,Flexibility,Intermediate
Strength Training,59,High,General Fitness,Advanced
CrossFit,78,Low,Endurance,Advanced
Swimming,53,Low,Flexibility,Beginner
HIIT,39,Low,Flexibility,Advanced
Yoga,59,High,Muscle Gain,Beginner
Running,50,Low,Flexibility,Beginner
Boxing,68,Medium,Endurance,Advanced
Swimming,87,Low,Flexibility,Beginner
Cycling,19,Low,Flexibility,Beginner
Strength Training,63,Low,Weight Loss,Intermediate
CrossFit,86,Medium,Muscle Gain,Beginner
Boxing,29,High,Muscle Gain,Intermediate
Swimming,84,High,Muscle Gain,Beginner
Swimming,64,High,Endurance,Beginner
Yoga,88,High,Flexibility,Intermediate
Cycling,69,High,Endurance,Beginner
Swimming,25,High,Weight Loss,Beginner
Cardio,51,High,Endurance,Intermediate
Swimming,47,High,Flexibility,Advanced
Cardio,81,High,Flexibility,Beginner
Yoga,53,Medium,Flexibility,Intermediate
Pilates,86,Low,Endurance,Beginner
Cycling,19,Low,Muscle Gain,Beginner
Boxing,41,High,Endurance,Beginner
Pilates,67,Low,Weight Loss,Beginner
CrossFit,30,Low,Flexibility,Advanced
HIIT,42,Low,Endurance,Advanced
Cardio,35,Medium,Weight Loss,Beginner
Cycling,43,Low,General Fitness,Beginner
HIIT,49,High,Muscle Gain,Advanced
Cycling,41,Low,General Fitness,Advanced
Boxing,78,Low,Muscle Gain,Beginner
Yoga,72,Low,Flexibility,Intermediate
Strength Training,80,High,Weight Loss,Advanced
Cardio,66,Medium,Endurance,Beginner
Strength Training,58,High,General Fitness,Beginner
Cardio,22,Low,Flexibility,Advanced
Pilates,39,High,Weight Loss,Beginner
Cycling,20,Low,Flexibility,Intermediate
Cardio,16,Medium,General Fitness,Beginner
Cardio,30,Low,Flexibility,Beginner
Boxing,49,Low,Weight Loss,Advanced
HIIT,66,High,Weight Loss,Advanced
Swimming,67,Medium,Weight Loss,Advanced
Swimming,40,Medium,Flexibility,Beginner
Strength Training,63,Low,Muscle Gain,Intermediate
Cardio,72,Medium,Flexibility,Advanced
Swimming,15,Low,General Fitness,Beginner
Pilates,74,High,General Fitness,Intermediate
Running,16,Low,Flexibility,Beginner
Pilates,47,High,General Fitness,Intermediate
Cardio,77,Low,Endurance,Advanced
Pilates,65,Low,Flexibility,Beginner
Swimming,58,Low,Muscle Gain,Intermediate
Swimming,47,Low,Endurance,Beginner
